WirtEinh,EQ_übergeordnet,Equipment,EQ-Bezeichnung,EQ-Klasse,EQ-Klasse-Bezeichnung,Gewerk,Anlagenausprägung,EQ-Menge,EQ-Merkmal_001,EQ-Merkmal_002,EQ-Merkmal_003,EQ-Merkmal_004,EQ-Merkmal_005,EQ-Merkmal_006,EQ-Merkmal_007,EQ-Merkmal_008,EQ-Merkmal_009,EQ-Merkmal_010,EQ-Merkmal_011,EQ-Merkmal_012,EQ-Merkmal_013,EQ-Merkmal_014,EQ-Merkmal_015,EQ-Merkmal_016,EQ-Merkmal_017,EQ-Merkmal_018,EQ-Merkmal_019,EQ-Merkmal_020,EQ-Merkmal_021,EQ-Merkmal_022,EQ-Merkmal_023,EQ-Merkmal_024,EQ-Merkmal_025,EQ-Merkmal_026,EQ-Merkmal_027,EQ-Merkmal_028,EQ-Merkmal_029,EQ-Merkmal_030,EQ-Merkmal_031,EQ-Merkmal_032,EQ-Merkmal_033,EQ-Merkmal_034,EQ-Merkmal_035,EQ-Merkmal_036,EQ-Merkmal_037,EQ-Merkmal_038,EQ-Merkmal_039,EQ-Merkmal_040,EQ-Merkmal_041,EQ-Merkmal_042,EQ-Merkmal_043,EQ-Merkmal_044,EQ-Merkmal_045,EQ-Merkmal_046,EQ-Merkmal_047,EQ-Merkmal_048,EQ-Merkmal_049,EQ-Merkmal_050,EQ-Merkmal_051,EQ-Merkmal_052
26287,,1000701214,Kantine Zuluftanlage Speisesaal,31212,Teilklimaanlagen,Kältetechnik,Teilklima mit Kälte u. Heizg.,1,,Gesamtkälteleistung in KW: 69,"Hygiene VDI 6022: Ja, Vorschrift",Hocheffiziensfilter vorh.: nein,Nutzung RLT: GemVerpflEinrichtung,Zuluftvolumenstrom tatsächlich: 9600,Zuluftvolumenstrom Nennvol.: 9600,Ventilator Antriebsart: Riemen,Kälteversorgung: Zentral,Anzahl Kältekreisläufe: 1,Kältemitteltyp: Kältemittel der zentr. Anlage,Kältemittelmenge: 0,CO2 Äquivalent: 0,GWP-Wert: 0,hermetisch geschlossen: nein,Leckageerkennungssystem vorhd.: nein,Zyklus für Dichtheitskontrolle: kein,,zugehörige Verbraucher: Kantine,Schnittstelle BuES/GLT: GaBI über BACnet,"Funktionsweise der MSR: digital, Standard-Regelung",Fabrikat der MSR: SIEMENS,Typ der MSR: POL638.000,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,Sonderbau-Prüfungen: ja,,,Kostengruppe DIN 276-1: 432,Bezeichn. Kostengr. DIN 276-1: Teilklimaanlagen,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000702412,Abluftanlage Duschraum,31211,Lüftungsanlagen,RLT,Abluftanlage,1,,,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 600,Zuluftvolumenstrom Nennvol.: 600,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sanitär-Raum,,Schnittstelle BuES/GLT: keine,"Funktionsweise der MSR: analog, Standard-Regelung",,,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000702699,RLT-Anlage Schutzraum 0227,31211,Lüftungsanlagen,RLT,Schutzraumlüft. mit Sandfilter,1,,Hygiene VDI 6022: Nein,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 400,Zuluftvolumenstrom Nennvol.: 400,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sonstige,,Schnittstelle BuES/GLT: keine,"Funktionsweise der MSR: analog, Standard-Regelung",,,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000702977,RLT-Anlage fensterlose Räume,31211,Lüftungsanlagen,RLT,Lüftungsanlage mit Heizung,1,,Hygiene VDI 6022: Nein,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 7000,Zuluftvolumenstrom Nennvol.: 7000,Ventilator Antriebsart: Riemen,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sonstige,,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: digital, Standard-Regelung",Fabrikat der MSR: STAEFA,Typ der MSR: SAIA  PCD2 M170,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000703978,"RLT-Anlage, Schutzraum 0221",31211,Lüftungsanlagen,RLT,Schutzraumlüft. mit Sandfilter,1,,Hygiene VDI 6022: Nein,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 400,Zuluftvolumenstrom Nennvol.: 400,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sonstige,,Schnittstelle BuES/GLT: keine,"Funktionsweise der MSR: analog, Standard-Regelung",,,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000703984,"RLT-Anlage, Schutzraum 0231",31211,Lüftungsanlagen,RLT,Schutzraumlüft. mit Sandfilter,1,,Hygiene VDI 6022: Nein,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 400,Zuluftvolumenstrom Nennvol.: 400,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sonstige,,Schnittstelle BuES/GLT: keine,"Funktionsweise der MSR: analog, Standard-Regelung",,,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000703991,"RLT-Anlage, Schutzraum 0230",31211,Lüftungsanlagen,RLT,Schutzraumlüft. mit Sandfilter,1,,Hygiene VDI 6022: Nein,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 400,Zuluftvolumenstrom Nennvol.: 400,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sonstige,,Schnittstelle BuES/GLT: keine,"Funktionsweise der MSR: analog, Standard-Regelung",,,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000707926,Aufzugsanlage Batterieraum,36104,Kleingüteraufzüge,Aufzug,Kleingüteraufzug,1,Nutzung: sonstige Nutzung,Antriebsart: Seiltrommel,Förderhöhe in m: 6,,Tragfähigkeit in kg: 300,Anzahl der Haltestellen: 2,Anzahl Fahrten im Monat: <= 1.000,,Kostengruppe DIN 276-1: 461,Bezeichn. Kostengr. DIN 276-1: Aufzugsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000707952,Lastenaufzug 62-4051,36101,Personen-/Lastenaufzüge,Aufzug,Lastenaufzug,1,Antriebsart: Treibscheibe,Förderhöhe in m: 14,Betriebsgeschwindigkeit in m/s: 0,Tragfähigkeit in kg: 2700,Anzahl der Haltestellen: 5,Anzahl Fahrten im Monat: > 1.000,Personenanzahl: 36,"Notrufzentrale: SPFS, Subunternehmer",,TK-Nummer Aufzug: 0681/83 05 818,Schnittstelle BuES/GLT: keine,,Kostengruppe DIN 276-1: 461,Bezeichn. Kostengr. DIN 276-1: Aufzugsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26287,,1000708047,Kantine Lastenaufzug 62-4053,36101,Personen-/Lastenaufzüge,Aufzug,Lastenaufzug,1,Antriebsart: direkt hydraul. Zyl. in Erde,Förderhöhe in m: 4,Betriebsgeschwindigkeit in m/s: 0,Tragfähigkeit in kg: 750,Anzahl der Haltestellen: 2,Anzahl Fahrten im Monat: <= 1.000,Personenanzahl: 10,"Notrufzentrale: SPFS, Subunternehmer",,,Schnittstelle BuES/GLT: keine,,Kostengruppe DIN 276-1: 461,Bezeichn. Kostengr. DIN 276-1: Aufzugsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
