WirtEinh,EQ_übergeordnet,Equipment,EQ-Bezeichnung,EQ-Klasse,EQ-Klasse-Bezeichnung,Gewerk,Anlagenausprägung,EQ-Menge,EQ-Merkmal_001,EQ-Merkmal_002,EQ-Merkmal_003,EQ-Merkmal_004,EQ-Merkmal_005,EQ-Merkmal_006,EQ-Merkmal_007,EQ-Merkmal_008,EQ-Merkmal_009,EQ-Merkmal_010,EQ-Merkmal_011,EQ-Merkmal_012,EQ-Merkmal_013,EQ-Merkmal_014,EQ-Merkmal_015,EQ-Merkmal_016,EQ-Merkmal_017,EQ-Merkmal_018,EQ-Merkmal_019,EQ-Merkmal_020,EQ-Merkmal_021,EQ-Merkmal_022,EQ-Merkmal_023,EQ-Merkmal_024,EQ-Merkmal_025,EQ-Merkmal_026,EQ-Merkmal_027,EQ-Merkmal_028,EQ-Merkmal_029,EQ-Merkmal_030,EQ-Merkmal_031,EQ-Merkmal_032,EQ-Merkmal_033,EQ-Merkmal_034,EQ-Merkmal_035,EQ-Merkmal_036,EQ-Merkmal_037,EQ-Merkmal_038,EQ-Merkmal_039,EQ-Merkmal_040,EQ-Merkmal_041,EQ-Merkmal_042,EQ-Merkmal_043,EQ-Merkmal_044,EQ-Merkmal_045,EQ-Merkmal_046,EQ-Merkmal_047,EQ-Merkmal_048,EQ-Merkmal_049,EQ-Merkmal_050,EQ-Merkmal_051,EQ-Merkmal_052
21083,,1000005794,Schutzraumlüftung - Mitt.(Außer Betrieb),31211,Lüftungsanlagen,RLT,Schutzraumlüft. ohne Sandfilt.,1,,Hygiene VDI 6022: Nein,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 500,Zuluftvolumenstrom Nennvol.: 500,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sonstige,,Schnittstelle BuES/GLT: keine,"Funktionsweise der MSR: analog, Standard-Regelung",Fabrikat der MSR: SCHALTER,Typ der MSR: SCHALTER,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000005932,RLT Batterieraum alt - Mittelbau,31211,Lüftungsanlagen,RLT,Zu-/Abluftanlage,1,,Hygiene VDI 6022: Nein,Nutzung RLT: Systemtechnik,Zuluftvolumenstrom tatsächlich: 500,Zuluftvolumenstrom Nennvol.: 500,Ventilator Antriebsart: Riemen,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Batterieraum,,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: digital, Standard-Regelung",Fabrikat der MSR: STAEFA,Typ der MSR: STAEFA REGELUNG,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000005934,RLT Gleichr. alt - Mittelbau,31211,Lüftungsanlagen,RLT,Zu-/Abluftanlage,1,,Hygiene VDI 6022: Nein,Nutzung RLT: Systemtechnik,Zuluftvolumenstrom tatsächlich: 6200,Zuluftvolumenstrom Nennvol.: 6289,Ventilator Antriebsart: Riemen,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: FSV Raum (GLR),,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: analog, Standard-Regelung",Fabrikat der MSR: STAEFA,Typ der MSR: STAEFA REGELUNG,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000025596,"Gebäude-Blitzschutz-, Erdungsanl., Pot.",3330,Blitzschutz-/Erdungsanlage,Elektro,Blitzschutz/Erdung Gebäude,1,Ableiter Anzahl aussen: 11,,Blitzschutzklasse: III (ehemals mittel),Bruttogeschossfläche Gebäude: 1.001 bis 5.000 m²,Gebäudeart: Technikgebäude,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 446,Bezeichn. Kostengr. DIN 276-1: Blitzschutz- u. Erdungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000026066,Beschallungs-/Sprechanlagen,3520,Elektroakustische Anlagen,Haustechn Einricht,Beschallungsanlage,1,,,,Schnittstelle BuES/GLT: keine,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 454,Bezeichn. Kostengr. DIN 276-1: Elektroakustische anlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000026075,"WTA Entwässerungspumpen, ortsfest",32302,Hebeanlagen/Entwässerungspumpen,Sanitär,"Entwässerungspumpen, ortsfest",1,Nutzung: sonstige Nutzung,,,Schnittstelle BuES/GLT: BuES,,Kostengruppe DIN 276-1: 411,Bezeichn. Kostengr. DIN 276-1: Abwasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000026469,Niederspannungsleitungsanlage,33103,Niederspannungsleitungsanlagen,Elektro,Niederspannungsleitungsanlage,1,Anzahl FI alle UVT: 0,Überspannungsableiter: 0,Unterverteilungen Gesamt: 14,Anzahl UVT ohne USV: 14,Stromkreise 1-ph ohne USV: 98,Stromkreise 3-ph ohne USV: 84,Anzahl UVT mit USV: 0,Stromkreise 1-ph mit USV: 0,Stromkreise 3-ph mit USV: 0,Schnittstelle BuES/GLT: keine,"Sonderbau-Prüfungen: Nein, keine",,,Kostengruppe DIN 276-1: 444,Bezeichn. Kostengr. DIN 276-1: Niederspannungsinstallationsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000026471,"Innenbeleuchtung, ortsfest",3410,Innenbeleuchtungseinrichtungen,Elektro,Innenbel.einr. ortsf. Leuchten,1,,,,Kostengruppe DIN 276-1: 445,Bezeichn. Kostengr. DIN 276-1: Beleuchtungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000027356,Wasserverteilanlage,32205,Wasserverteilanlagen,Sanitär,Wasserverteilanlage,1,Filter: manuell rückspülbar,Messwerterfassung: manuell (MobileX),,,Kostengruppe DIN 276-1: 412,Bezeichn. Kostengr. DIN 276-1: Wasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000028394,Laufkatzenanlage,3622,Krane,Haustechn Einricht,Laufkatzenanlage,1,Belastungsart: keine,,Kostengruppe DIN 276-1: 465,Bezeichn. Kostengr. DIN 276-1: Krananlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000032641,Niederspannungsleitungsanlage,33103,Niederspannungsleitungsanlagen,Elektro,Niederspannungsleitungsanlage,1,Anzahl FI alle UVT: 0,Überspannungsableiter: 5,Unterverteilungen Gesamt: 8,Anzahl UVT ohne USV: 7,Stromkreise 1-ph ohne USV: 141,Stromkreise 3-ph ohne USV: 61,Anzahl UVT mit USV: 1,Stromkreise 1-ph mit USV: 11,Stromkreise 3-ph mit USV: 0,Schnittstelle BuES/GLT: keine,"Sonderbau-Prüfungen: Nein, keine",,,Kostengruppe DIN 276-1: 444,Bezeichn. Kostengr. DIN 276-1: Niederspannungsinstallationsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033209,Abwasserleitungsanlage,32301,Abwasserleitungsanlagen,Sanitär,Abwasserleitungsanlage,1,Nutzung: sonstige Nutzung,"Medium Abwasser: Abwasser, fäkalienhaltig",Rückstauverschluss: keiner vorhanden,,,Kostengruppe DIN 276-1: 411,Bezeichn. Kostengr. DIN 276-1: Abwasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033213,Abwasserleitungsanlage,32301,Abwasserleitungsanlagen,Sanitär,Abwasserleitungsanlage,1,Nutzung: sonstige Nutzung,"Medium Abwasser: Abwasser, fäkalienhaltig",Rückstauverschluss: keiner vorhanden,,,Kostengruppe DIN 276-1: 411,Bezeichn. Kostengr. DIN 276-1: Abwasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033217,NSP-Leitungsanlage Altbau -vermietet-,33103,Niederspannungsleitungsanlagen,Elektro,Niederspannungsleitungsanlage,1,Anzahl FI alle UVT: 3,Überspannungsableiter: 0,Unterverteilungen Gesamt: 5,Anzahl UVT ohne USV: 5,Stromkreise 1-ph ohne USV: 87,Stromkreise 3-ph ohne USV: 24,Anzahl UVT mit USV: 0,Stromkreise 1-ph mit USV: 0,Stromkreise 3-ph mit USV: 0,Schnittstelle BuES/GLT: keine,"Sonderbau-Prüfungen: Nein, keine",,,Kostengruppe DIN 276-1: 444,Bezeichn. Kostengr. DIN 276-1: Niederspannungsinstallationsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033220,Wasserverteilanlage,32205,Wasserverteilanlagen,Sanitär,Wasserverteilanlage,1,Filter: manuell rückspülbar,Messwerterfassung: manuell (MobileX),,,Kostengruppe DIN 276-1: 412,Bezeichn. Kostengr. DIN 276-1: Wasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033223,Abwasserleitungsanlage,32301,Abwasserleitungsanlagen,Sanitär,Abwasserleitungsanlage,1,Nutzung: sonstige Nutzung,"Medium Abwasser: Abwasser, fäkalienhaltig",Rückstauverschluss: keiner vorhanden,,,Kostengruppe DIN 276-1: 411,Bezeichn. Kostengr. DIN 276-1: Abwasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033226,"Gebäude-Blitzschutz-, Erdungsanl., Pot.",3330,Blitzschutz-/Erdungsanlage,Elektro,Blitzschutz/Erdung Gebäude,1,Ableiter Anzahl aussen: 10,,Blitzschutzklasse: III (ehemals mittel),Bruttogeschossfläche Gebäude: 1.001 bis 5.000 m²,Gebäudeart: Bürogebäude,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 446,Bezeichn. Kostengr. DIN 276-1: Blitzschutz- u. Erdungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033227,"Gebäude-Blitzschutz-, Erdungsanl., Pot.",3330,Blitzschutz-/Erdungsanlage,Elektro,Blitzschutz/Erdung Gebäude,1,Ableiter Anzahl aussen: 10,,Blitzschutzklasse: III (ehemals mittel),Bruttogeschossfläche Gebäude: 1.001 bis 5.000 m²,Gebäudeart: Technikgebäude,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 446,Bezeichn. Kostengr. DIN 276-1: Blitzschutz- u. Erdungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033230,"Innenbeleuchtung, ortsfest",3410,Innenbeleuchtungseinrichtungen,Elektro,Innenbel.einr. ortsf. Leuchten,1,,,,Kostengruppe DIN 276-1: 445,Bezeichn. Kostengr. DIN 276-1: Beleuchtungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033233,"Innenbeleuchtung, ortsfest",3410,Innenbeleuchtungseinrichtungen,Elektro,Innenbel.einr. ortsf. Leuchten,1,,,versorgter Bereich: Gebäude,Kostengruppe DIN 276-1: 445,Bezeichn. Kostengr. DIN 276-1: Beleuchtungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033239,"Außenbeleuchtungseinr., ortsf. Leuchten",3420,Außenbeleuchtungseinrichtungen,Elektro,Außenbel.einr. ortsf. Leuchten,6,,,,,Kostengruppe DIN 276-1: 445,Bezeichn. Kostengr. DIN 276-1: Beleuchtungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033255,Türklingelanlagen,3590,"Meldeeinrichtungen, sonstige",Haustechn Einricht,Tür-Klingel-/Sprech-/Videoanl,1,,Schnittstelle BuES/GLT: keine,,,Kostengruppe DIN 276-1: 452,Bezeichn. Kostengr. DIN 276-1: Such- und Signalanlagen,"Sonderbau-Prüfungen: Nein, keine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033260,Codeanlagen,35601,autarke Zutrittsanlagen,"BuES, GLT, IZS",autarke Zutrittsanlagen,1,,Schnittstelle BuES/GLT: BuES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033262,Batterie-Handleuchten mit Ladegerät,3450,"Sicherheitsleuchten, einzelne",Elektro,Sicherheitsl.einzel ortsveränd,3,,,,Kostengruppe DIN 276-1: 445,Bezeichn. Kostengr. DIN 276-1: Beleuchtungsanlagen,"Sonderbau-Prüfungen: Nein, keine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033271,Feuerlöscher,39301,Kleinlöschgeräte,Brandschutz,Feuerlöscher,1,Löschmittel Feuerlöscher: Wasser bis 10 Liter,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 475,Bezeichn. Kostengr. DIN 276-1: Feuerlöschanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033274,Feuerlöscher,39301,Kleinlöschgeräte,Brandschutz,Feuerlöscher,26,,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 475,Bezeichn. Kostengr. DIN 276-1: Feuerlöschanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033275,Feuerlöscher,39301,Kleinlöschgeräte,Brandschutz,Feuerlöscher,43,,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 475,Bezeichn. Kostengr. DIN 276-1: Feuerlöschanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033276,Feuerlöscher,39301,Kleinlöschgeräte,Brandschutz,Feuerlöscher,7,,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 475,Bezeichn. Kostengr. DIN 276-1: Feuerlöschanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033908,Laufkatzenanlage,3622,Krane,Haustechn Einricht,Laufkatzenanlage,1,Belastungsart: mittel,,Kostengruppe DIN 276-1: 465,Bezeichn. Kostengr. DIN 276-1: Krananlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,,1000033910,Laufkatzenanlage,3622,Krane,Haustechn Einricht,Laufkatzenanlage,1,Belastungsart: keine,,Kostengruppe DIN 276-1: 465,Bezeichn. Kostengr. DIN 276-1: Krananlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,1000005932.0,1001553628,Brandschutzklappen,3123,Brandschutzklappen,RLT,Brandschutzklappen,2,Asbesthaltige BSK enthalten: nein,"Sonderbau-Prüfungen: Nein, keine",,,Schnittstelle BuES/GLT: keine,Kostengruppe DIN 276-1: 439,"Bezeichn. Kostengr. DIN 276-1: Lufttechnische Anlagen, sonst.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,1000005934.0,1001553696,Brandschutzklappen GL-Raum alt,3123,Brandschutzklappen,RLT,Brandschutzklappen,2,Asbesthaltige BSK enthalten: nein,"Sonderbau-Prüfungen: Nein, keine",,,Schnittstelle BuES/GLT: keine,Kostengruppe DIN 276-1: 439,"Bezeichn. Kostengr. DIN 276-1: Lufttechnische Anlagen, sonst.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
