WirtEinh,EQ_übergeordnet,Equipment,EQ-Bezeichnung,EQ-Klasse,EQ-Klasse-Bezeichnung,Gewerk,Anlagenausprägung,EQ-Menge,EQ-Merkmal_001,EQ-Merkmal_002,EQ-Merkmal_003,EQ-Merkmal_004,EQ-Merkmal_005,EQ-Merkmal_006,EQ-Merkmal_007,EQ-Merkmal_008,EQ-Merkmal_009,EQ-Merkmal_010,EQ-Merkmal_011,EQ-Merkmal_012,EQ-Merkmal_013,EQ-Merkmal_014,EQ-Merkmal_015,EQ-Merkmal_016,EQ-Merkmal_017,EQ-Merkmal_018,EQ-Merkmal_019,EQ-Merkmal_020,EQ-Merkmal_021,EQ-Merkmal_022,EQ-Merkmal_023,EQ-Merkmal_024,EQ-Merkmal_025,EQ-Merkmal_026,EQ-Merkmal_027,EQ-Merkmal_028,EQ-Merkmal_029,EQ-Merkmal_030,EQ-Merkmal_031,EQ-Merkmal_032,EQ-Merkmal_033,EQ-Merkmal_034,EQ-Merkmal_035,EQ-Merkmal_036,EQ-Merkmal_037,EQ-Merkmal_038,EQ-Merkmal_039,EQ-Merkmal_040,EQ-Merkmal_041,EQ-Merkmal_042,EQ-Merkmal_043,EQ-Merkmal_044,EQ-Merkmal_045,EQ-Merkmal_046,EQ-Merkmal_047,EQ-Merkmal_048,EQ-Merkmal_049,EQ-Merkmal_050,EQ-Merkmal_051,EQ-Merkmal_052
15859,,1000629414,RLT-Anl. 5,31211,Lüftungsanlagen,RLT,Lüftungsanlage mit Heizung,1,PASM_Betriebszustand: Normalbetrieb (NB),Hygiene VDI 6022: Nein,Nutzung RLT: Systemtechnik,Zuluftvolumenstrom tatsächlich: 15500,Zuluftvolumenstrom Nennvol.: 15500,Ventilator Antriebsart: Riemen,,,,,,,,,,,,zugehörige Verbraucher: FSV Raum (GLR),,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: digital, Standard-Regelung",Fabrikat der MSR: SAIA,Typ der MSR: PCD 2,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000629534,RLT-Anl. 8,31211,Lüftungsanlagen,RLT,Abluftanlage,1,,,Nutzung RLT: Systemtechnik,Zuluftvolumenstrom tatsächlich: 500,Zuluftvolumenstrom Nennvol.: 500,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Sanitär-Raum,,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: digital, Standard-Regelung",Fabrikat der MSR: SAJA,Typ der MSR: PCD2,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000629586,RLT - Anlage 10    ABGS,31212,Teilklimaanlagen,Kältetechnik,"TK mit Kälte, Heizung, Befeuch",1,,Gesamtkälteleistung in KW: 97,Hygiene VDI 6022: Nein,Hocheffiziensfilter vorh.: nein,"Nutzung RLT: Gebäude, Büro",Zuluftvolumenstrom tatsächlich: 24140,Zuluftvolumenstrom Nennvol.: 24200,Ventilator Antriebsart: Riemen,Kälteversorgung: Zentral,Anzahl Kältekreisläufe: 1,Kältemitteltyp: Kaltwasser,,,GWP-Wert: 0,hermetisch geschlossen: nein,Leckageerkennungssystem vorhd.: nein,,Art des Befeuchters: Befeuchter stillgelegt,zugehörige Verbraucher: Sonstige,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: digital, Standard-Regelung",Fabrikat der MSR: LANDIS&GYR,Typ der MSR: VISOGYR04,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,,Kostengruppe DIN 276-1: 432,Bezeichn. Kostengr. DIN 276-1: Teilklimaanlagen,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000629613,RLT-Anl. 28,31211,Lüftungsanlagen,RLT,Zu-/Abluftanlage,1,,Hygiene VDI 6022: Nein,Nutzung RLT: Systemtechnik,Zuluftvolumenstrom tatsächlich: 4000,Zuluftvolumenstrom Nennvol.: 4000,Ventilator Antriebsart: Riemen,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: MobFU,,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: analog, Standard-Regelung",Fabrikat der MSR: STAEFA CONTROL SYSTEM,,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000630415,"RLT-Anl. 4 Innenl. Räume & KA RZ, R.49",31211,Lüftungsanlagen,RLT,Lüftungsanlage mit Heizung,1,,Hygiene VDI 6022: Nein,"Nutzung RLT: Geb., Büro/Systemt. gemischt",Zuluftvolumenstrom tatsächlich: 4081,Zuluftvolumenstrom Nennvol.: 3900,Ventilator Antriebsart: Riemen,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: Büro Raum,,Schnittstelle BuES/GLT: BuES,"Funktionsweise der MSR: digital, Standard-Regelung",Fabrikat der MSR: LANDIS & GYR,Typ der MSR: VISIGYR 04,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000630427,Wasserverteilanlage,32205,Wasserverteilanlagen,Sanitär,Wasserverteilanlage,1,Filter: kein Filter,Messwerterfassung: manuell (MobileX),,,Kostengruppe DIN 276-1: 412,Bezeichn. Kostengr. DIN 276-1: Wasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000630434,"RLT-Anl. 5 Innenl. Räume & Lager RZ, R49",31211,Lüftungsanlagen,RLT,Lüftungsanlage mit Heizung,1,,Hygiene VDI 6022: Nein,Nutzung RLT: Systemtechnik,Zuluftvolumenstrom tatsächlich: 11730,Zuluftvolumenstrom Nennvol.: 12440,Ventilator Antriebsart: Riemen,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,zugehörige Verbraucher: FSV Raum (GLR),,Schnittstelle BuES/GLT: GLT,"Funktionsweise der MSR: analog, Standard-Regelung",Fabrikat der MSR: LANDIS&GYR,Typ der MSR: VISOGYR04,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000630435,Wasserverteilanlage,32205,Wasserverteilanlagen,Sanitär,Wasserverteilanlage,1,Filter: kein Filter,Messwerterfassung: manuell (MobileX),,,Kostengruppe DIN 276-1: 412,Bezeichn. Kostengr. DIN 276-1: Wasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000630463,Wasserverteilanlage KatS-Gebäude,32205,Wasserverteilanlagen,Sanitär,Wasserverteilanlage,1,Filter: kein Filter,Messwerterfassung: manuell (MobileX),,,Kostengruppe DIN 276-1: 412,Bezeichn. Kostengr. DIN 276-1: Wasseranlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15859,,1000630476,RLT-Anl. 8 Aufzugsraum RZ,31211,Lüftungsanlagen,RLT,Abluftanlage,1,,,Nutzung RLT: Systemtechnik,Zuluftvolumenstrom tatsächlich: 100,Zuluftvolumenstrom Nennvol.: 1940,Ventilator Antriebsart: Direkt ohne aut. Lastanpassung,Brandlüftung: keine Brandlüftungsfunktion,,,,,,,,,,,,,Schnittstelle BuES/GLT: GLT,,,,Zwischenkontrolle RLT: keine Zwischenprfg. erforderl.,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 431,Bezeichn. Kostengr. DIN 276-1: Lüftungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,
