Gebäude-ID,Anlagentyp,Anlagen-ID,Bauteil der Anlage,Anlagenname,Untergewerk-ID,Untergewerk,AKS-Bezeichnung,Kostengruppe,Kostengruppenbezeichnung,Anzahl,Hinweis Preisermittlung,Merkmale,Verbandsnummer
2039,Anlage,79345,,Handfeuerlöscher,1376,474,Handfeuerlöscher,470,Nutzungsspezifische Anlagen,,,Anzahl Handfeuerlöscher:1 Stk.; Brandklasse:A B; Inhalt:6 kg; Löscher (Art):Schaum; Transportart Feuerlöscher:tragbar; Typ Auslösevorrichtung:Dauerdrucklöscher;,474.01.10.000.01.01
2039,Anlage,79346,,Außenfenster mit Kipp- oder Drehflügel,1165,334,Außenfenster mit Kipp- oder Drehflügel,330,Außenwände,139.0,,Antriebsart:nicht kraftbetrieben; Anzahl Antriebe:; Anzahl Flügel:1 Stk.; Fenstergröße:; Material :; Notausgang:;,334.01.01.000.02.00
2039,Anlage,79347,,Sonnenschutzanlage,1171,338,Sonnenschutzanlage,330,Außenwände,,Die Preisermittlung erfolgt ausschließlich über die Bauteile,,
2039,Bauteil,79348,79347.0,Jalousien,1417,338,Sonnenschutzanlage,330,Außenwände,139.0,,Antriebsart:mechanisch; Anzahl Antriebe:; Sonnenschutz (Ort):;,338.01.01.159.02.00
2039,Anlage,79349,,Werbeanlage,1172,339,Werbeanlage,330,Außenwände,,,Bauart:mit Polycarbonatabdeckung; Breite:2 m; Höhe:3 m; Montagehöhe:0 m; Steuerung (Art):; Zugänglichkeit:;,339.01.01.000.00.00
2039,Anlage,79350,,Werbeanlage,1172,339,Werbeanlage,330,Außenwände,,,Bauart:mit Polycarbonatabdeckung; Breite:2 m; Höhe:3 m; Montagehöhe:0 m; Steuerung (Art):; Zugänglichkeit:;,339.01.01.000.00.00
2039,Anlage,79351,,Werbeanlage,1172,339,Werbeanlage,330,Außenwände,,,Bauart:mit Polycarbonatabdeckung; Breite:2 m; Höhe:3 m; Montagehöhe:0 m; Steuerung (Art):; Zugänglichkeit:;,339.01.01.000.00.00
2039,Anlage,79352,,Werbeanlage,1172,339,Werbeanlage,330,Außenwände,,,Bauart:mit Polycarbonatabdeckung; Breite:2 m; Höhe:3 m; Montagehöhe:0 m; Steuerung (Art):; Zugänglichkeit:;,339.01.01.000.00.00
2039,Anlage,79353,,Werbeanlage,1172,339,Werbeanlage,330,Außenwände,,,Bauart:mit Polycarbonatabdeckung; Breite:5 m; Höhe:1 m; Montagehöhe:0 m; Steuerung (Art):; Zugänglichkeit:;,339.01.01.000.00.00
2039,Anlage,79354,,Feuerwehrschlüsselsafe,1410,611,Werkstattausstattung,610,Neu Ausstattung,,,,
2039,Anlage,79355,,Türsprech- und Türöffneranlage,1286,452,Türsprech- und Türöffneranlage,450,Fernmelde- und informationstechnische Anlagen,,,Anzahl Kameras:; Anzahl Monitore:; Anzahl Sprechstellen außen:1 Stk.; Anzahl Sprechstellen innen:4 Stk.;,452.03.01.000.01.00
2039,Anlage,79356,,Personenaufzug,1306,461,Personenaufzug,460,Förderanlagen,,,Antriebsart:Treibscheibe; Anzahl Haltestellen:5 Stk.; Anzahl Zugangsstellen:; Durchladung:; Errichtungsnorm:; Feuerwehr-/Evakuierungsaufzug:; Förderhöhe:; Notruffunktion:; Tragfähigkeit:630 kg;,461.01.01.000.01.04
2039,Anlage,79357,,NS-Unterverteiler,1270,444,NS-Unterverteiler,440,Starkstromanlagen,,,Anzahl RCD:; Anzahl Stromkreise:18 Stk.; Bussystem vorhanden:;,444.03.01.000.00.01
2039,Anlage,79358,,NS-Unterverteiler,1270,444,NS-Unterverteiler,440,Starkstromanlagen,,,Anzahl RCD:; Anzahl Stromkreise:2 Stk.; Bussystem vorhanden:;,444.03.01.000.00.01
2039,Anlage,79359,,Rauchwärmeabzugsanlage (RWA),1256,439,Rauchwärmeabzugsanlage (RWA),430,Lufttechnische Anlagen,,Die Preisermittlung erfolgt entweder über Anzahl elektrische oder Anzahl pneumatische Antriebe. Es dürfen nicht beide Felder gefüllt sein.,Anzahl elektrische Antriebe:2 Stk.; Anzahl manuelle Antriebe:; Anzahl pneumatische Antriebe:; Anzahl Rauchabzugsöffnungen:1 Stk.; Auslöseart:Handmelder; zusätzliche Lüftungsfunktion:nein;,439.02.01.000.01.00
2039,Anlage,79360,,Handfeuerlöscher,1376,474,Handfeuerlöscher,470,Nutzungsspezifische Anlagen,,,Anzahl Handfeuerlöscher:1 Stk.; Brandklasse:A B C; Inhalt:6 kg; Löscher (Art):Pulver; Transportart Feuerlöscher:tragbar; Typ Auslösevorrichtung:Dauerdrucklöscher;,474.01.08.000.01.01
2039,Anlage,79361,,Handfeuerlöscher,1376,474,Handfeuerlöscher,470,Nutzungsspezifische Anlagen,,,Anzahl Handfeuerlöscher:1 Stk.; Brandklasse:B; Inhalt:5 kg; Löscher (Art):CO2; Transportart Feuerlöscher:tragbar; Typ Auslösevorrichtung:Dauerdrucklöscher;,474.01.07.000.00.02
2039,Anlage,79362,,Abluftanlage,1233,431,Abluftanlage,430,Lufttechnische Anlagen,,,Abluft Volumenstrom:500 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.01
2039,Anlage,79363,,Abluftanlage,1233,431,Abluftanlage,430,Lufttechnische Anlagen,,,Abluft Volumenstrom:500 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.01
2039,Anlage,79364,,Außentür,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:nein; Innendurchmesser:1000 mm; Obertürschließer:nein; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.20.02
2039,Anlage,79365,,Außentür Stiege,1167,334,Außentür,330,Außenwände,16.0,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:nein; Innendurchmesser:1000 mm; Obertürschließer:nein; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.20.02
