Gebäude-ID,Anlagentyp,Anlagen-ID,Bauteil der Anlage,Anlagenname,Untergewerk-ID,Untergewerk,AKS-Bezeichnung,Kostengruppe,Kostengruppenbezeichnung,Anzahl,Hinweis Preisermittlung,Merkmale,Verbandsnummer
2042,Anlage,72483,,BST TG BT1 - A,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72484,,BST TG BT1 - B,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72485,,BST TG BT1 - C,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72486,,BST TG BT1 - D,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72487,,BST 18OG  BT1- A,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72488,,BST 18OG BT1 - B,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72489,,BST 18OG BT1 - C,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72490,,BST 18OG BT1 - D,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72491,,BST 18OG BT1 - E,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
2042,Anlage,72492,,BST 18OG BT1 - F,1167,334,Außentür,330,Außenwände,,,Antriebsart:nicht kraftbetrieben; Anzahl Flügel:1 Stk.; Feuerwiderstandsklasse:T30; im Fluchtweg:ja; Innendurchmesser:900 mm; Obertürschließer:; Schließfolgeregelung:nein; Türart:Drehflügeltür;,334.03.01.000.16.02
